날짜,번호1,번호2,번호3,번호4,번호5,번호6,보너스
2023.10.21,12,19,21,29,40,45,1
2023.10.14,4,18,31,37,42,43,40
2023.10.07,11,21,22,30,39,44,31
2023.09.30,13,14,18,21,34,44,16
2023.09.23,11,16,25,27,35,36,37
2023.09.16,4,7,17,18,38,44,36
2023.09.09,8,12,13,29,33,42,5
2023.09.02,3,7,14,15,22,38,17
2023.08.26,21,26,27,32,34,42,31
2023.08.19,1,9,16,23,24,38,17
2023.08.12,13,16,23,31,36,44,38
2023.08.05,4,8,18,24,37,45,6
2023.07.29,6,10,11,14,36,38,43
2023.07.22,4,8,17,30,40,43,34
2023.07.15,3,7,9,33,36,37,10
2023.07.08,1,23,24,35,44,45,10
2023.07.01,1,6,20,27,28,41,15
2023.06.24,6,18,28,30,32,38,15
2023.06.17,16,18,20,23,32,43,27
2023.06.10,1,2,11,21,30,35,39
2023.06.03,3,6,14,22,30,41,36
2023.05.27,1,10,18,22,28,31,44
2023.05.20,4,7,19,26,33,35,3
2023.05.13,7,10,19,23,28,33,18
2023.05.06,6,11,16,19,21,32,45
2023.04.29,3,18,19,23,32,45,24
2023.04.22,3,6,9,18,22,35,14
2023.04.15,3,6,22,23,24,38,30
2023.04.08,20,31,32,40,41,45,12
2023.04.01,4,24,27,35,37,45,15
2023.03.25,3,10,24,33,38,45,36
2023.03.18,7,10,22,25,34,40,27
2023.03.11,11,23,25,30,32,40,42
2023.03.04,8,13,19,27,40,45,12
2023.02.25,13,20,24,32,36,45,29
2023.02.18,4,7,12,14,22,33,31
2023.02.11,14,19,27,28,30,45,33
2023.02.04,22,26,29,30,34,45,15
2023.01.28,5,17,26,27,35,38,1
2023.01.21,21,26,30,32,33,35,44
2023.01.14,6,12,31,35,38,43,17
2023.01.07,3,5,13,20,21,37,17
2022.12.31,6,12,17,21,32,39,30
2022.12.24,2,20,33,40,42,44,32
2022.12.17,7,16,25,29,35,36,28
2022.12.10,6,14,15,19,21,41,37
2022.12.03,12,17,20,26,28,36,4
2022.11.26,3,5,12,22,26,31,19
2022.11.19,5,14,15,23,34,43,4
2022.11.12,6,7,9,11,17,18,45
2022.11.05,8,16,26,29,31,36,11
2022.10.29,2,3,6,19,36,39,26
2022.10.22,7,16,24,27,37,44,2
2022.10.15,2,14,15,22,27,33,31
2022.10.08,2,5,22,32,34,45,39
2022.10.01,9,14,34,35,41,42,2
2022.09.24,26,31,32,33,38,40,11
2022.09.17,3,11,15,20,35,44,10
2022.09.10,1,6,12,19,36,42,28
2022.09.03,6,7,22,32,35,36,19
2022.08.27,2,5,11,17,24,29,9
2022.08.20,12,30,32,37,39,41,24
2022.08.13,5,7,12,13,18,35,23
2022.08.06,14,16,27,35,39,45,5
2022.07.30,5,12,13,31,32,41,34
2022.07.23,8,9,20,25,29,33,7
2022.07.16,9,18,20,22,38,44,10
2022.07.09,10,14,16,18,29,35,25
2022.07.02,5,6,11,29,42,45,28
2022.06.25,12,15,17,24,29,45,16
2022.06.18,12,27,29,38,41,45,6
2022.06.11,1,4,13,17,34,39,6
2022.06.04,3,19,21,25,37,45,35
2022.05.28,12,18,22,23,30,34,32
2022.05.21,15,26,28,34,41,42,44
2022.05.14,14,23,31,33,37,40,44
2022.05.07,3,11,14,18,26,27,21
2022.04.30,21,22,26,34,36,41,32
2022.04.23,5,11,18,20,35,45,3
2022.04.16,1,9,12,26,35,38,42
2022.04.09,9,12,15,25,34,36,3
2022.04.02,15,23,29,34,40,44,20
2022.03.26,9,11,30,31,41,44,33
2022.03.19,8,11,16,19,21,25,40
2022.03.12,8,11,15,16,17,37,36
2022.03.05,8,13,18,24,27,29,17
2022.02.26,7,15,30,37,39,44,18
2022.02.19,1,4,29,39,43,45,31
2022.02.12,17,25,33,35,38,45,15
2022.02.05,6,10,12,14,20,42,15
2022.01.29,2,8,19,22,32,42,39
2022.01.22,1,3,9,14,18,28,34
2022.01.15,13,17,18,20,42,45,41
2022.01.08,4,7,14,16,24,44,20
2022.01.01,6,11,15,24,32,39,28
2021.12.25,1,4,13,29,38,39,7
2021.12.18,1,3,8,24,27,35,28
2021.12.11,6,14,16,18,24,42,44
2021.12.04,12,20,26,33,44,45,24
2021.11.27,13,18,25,31,33,44,38
2021.11.20,2,4,25,26,36,37,28
2021.11.13,17,18,21,27,29,33,26
2021.11.06,2,13,20,30,31,41,27
2021.10.30,2,4,15,23,29,38,7
2021.10.23,7,10,16,28,41,42,40
2021.10.16,17,21,23,30,34,44,19
2021.10.09,3,10,23,35,36,37,18
2021.10.02,13,23,26,31,35,43,15
2021.09.25,5,7,13,20,21,44,33
2021.09.18,27,36,37,41,43,45,32
2021.09.11,3,13,16,23,24,35,14
2021.09.04,7,11,16,21,27,33,24
2021.08.28,1,7,15,32,34,42,8
2021.08.21,2,9,10,14,22,44,16
2021.08.14,4,12,14,25,35,37,2
